id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0211,Baling,Baling,baling-0211,0211,17,5.645,100.8
0212,Bandar Baharu,Bandar Baharu,bandar-baharu-0212,0212,12,5.193,100.601
0213,Kota Setar,Kota Setar,kota-setar-0213,0213,27,6.125,100.406
0214,Kuala Muda,Kuala Muda,kuala-muda-0214,0214,26,5.66,100.515
0215,Kubang Pasu,Kubang Pasu,kubang-pasu-0215,0215,34,6.345,100.431
0216,Kulim,Kulim,kulim-0216,0216,24,5.41,100.682
0217,Langkawi,Langkawi,langkawi-0217,0217,9,6.298,99.815
0218,Padang Terap,Padang Terap,padang-terap-0218,0218,18,6.176,100.684
0219,Pendang,Pendang,pendang-0219,0219,14,5.997,100.552
0220,Pokok Sena,Pokok Sena,pokok-sena-0220,0220,6,6.178,100.516
0221,Sik,Sik,sik-0221,0221,14,5.991,100.816
0222,Yan,Yan,yan-0222,0222,11,5.833,100.352
