id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
0332-011,BANDAR TANAH MERAH,BANDAR TANAH MERAH,bandar-tanah-merah-0332-011,0332-011,5.804,102.148
0332-006,MUKIM BATANG MERBAU,BATANG MERBAU,batang-merbau-0332-006,0332-006,5.805,102.047
0332-002,MUKIM BENDANG NYIOR,BENDANG NYIOR,bendang-nyior-0332-002,0332-002,5.86,102.077
0332-009,MUKIM BUKIT DURIAN,BUKIT DURIAN,bukit-durian-0332-009,0332-009,5.716,102.049
0332-008,MUKIM JEDOK,JEDOK,jedok-0332-008,0332-008,5.795,101.938
0332-001,MUKIM KUALA PAKU,KUALA PAKU,kuala-paku-0332-001,0332-001,5.763,102.082
0332-013,MUKIM LAWANG,LAWANG,lawang-0332-013,0332-013,5.842,101.985
0332-003,MUKIM MAKA,MAKA,maka-0332-003,0332-003,5.815,102.116
0332-004,MUKIM NIBONG,NIBONG,nibong-0332-004,0332-004,5.788,101.904
0332-010,MUKIM PASIR GANDA,PASIR GANDA,pasir-ganda-0332-010,0332-010,5.871,102.123
0332-005,MUKIM SOKOR,SOKOR,sokor-0332-005,0332-005,5.654,102.037
0332-007,MUKIM TANAH MERAH,TANAH MERAH,tanah-merah-0332-007,0332-007,5.789,102.129
0332-012,MUKIM ULU KUSIAL,ULU KUSIAL,ulu-kusial-0332-012,0332-012,5.747,102.033
