id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
10146-001,MUKIM BAGAN NAKHODA OMAR,BAGAN NAKHODA OMAR,bagan-nakhoda-omar-10146-001,10146-001,3.773,100.869
10146-002,MUKIM HUTAN MELINTANG,HUTAN MELINTANG,hutan-melintang-10146-002,10146-002,3.773,101.09
10146-008,PEKAN BAGAN NAKHODA OMAR,PEKAN BAGAN NAKHODA OMAR,pekan-bagan-nakhoda-omar-10146-008,10146-008,3.676,100.983
10146-004,PEKAN BAGAN TERAP TAMBAHAN,PEKAN BAGAN TERAP TAMBAHAN,pekan-bagan-terap-tambahan-10146-004,10146-004,3.749,101.054
10146-005,PEKAN PARIT BARU,PEKAN PARIT BARU,pekan-parit-baru-10146-005,10146-005,3.815,100.845
10146-007,PEKAN PARIT ENAM,PEKAN PARIT ENAM,pekan-parit-enam-10146-007,10146-007,3.71,101.011
10146-013,PEKAN PARIT SEMBILAN,PEKAN PARIT SEMBILAN,pekan-parit-sembilan-10146-013,10146-013,3.73,101.03
10146-015,PEKAN SABAK,PEKAN SABAK,pekan-sabak-10146-015,10146-015,3.769,100.98
10146-006,PEKAN SEKINCHAN SITE A,PEKAN SEKINCHAN SITE A,pekan-sekinchan-site-a-10146-006,10146-006,3.527,101.141
10146-009,PEKAN SEKINCHAN TAMBAHAN,PEKAN SEKINCHAN TAMBAHAN,pekan-sekinchan-tambahan-10146-009,10146-009,3.507,101.097
10146-012,PEKAN SIMPANG LIMA TAMBAHAN,PEKAN SIMPANG LIMA TAMBAHAN,pekan-simpang-lima-tambahan-10146-012,10146-012,3.624,101.052
10146-018,PEKAN SIMPANG TIGA,PEKAN SIMPANG TIGA,pekan-simpang-tiga-xx-100,10146-018,3.624,101.023
10146-016,PEKAN SUNGAI AIR TAWAR TAMBAHAN,PEKAN SUNGAI AIR TAWAR TAMBAHAN,pekan-sungai-air-tawar-tambahan-10146-016,10146-016,3.846,100.898
10146-011,PEKAN SUNGAI BESAR,PEKAN SUNGAI BESAR,pekan-sungai-besar-10146-011,10146-011,3.681,100.975
10146-010,PEKAN SUNGAI HAJI DORANI,PEKAN SUNGAI HAJI DORANI,pekan-sungai-haji-dorani-10146-010,10146-010,3.641,101.025
10146-014,PEKAN SUNGAI NIBONG,PEKAN SUNGAI NIBONG,pekan-sungai-nibong-10146-014,10146-014,3.605,101.061
10146-017,PEKAN SUNGAI SEPINTAS,PEKAN SUNGAI SEPINTAS,pekan-sungai-sepintas-10146-017,10146-017,3.781,101.028
10146-003,MUKIM SUNGAI PANJANG,SUNGAI PANJANG,sungai-panjang-10146-003,10146-003,3.728,101.168
